company_id,metric_key,year,value,unit,statement,source,url,quality,claimed_value_context
shell,emissions.scope1.co2e,2023,50000000,tCO2e,"Direct GHG emissions (Scope 1), operational control: 50 million tonnes CO2e (2023).","Shell Sustainability Report 2023, p.79, GHG data table (GRI 305-1)",https://reports.shell.com/sustainability-report/2023/,self_reported,
shell,emissions.scope1.co2e,2022,51000000,tCO2e,"Direct GHG emissions (Scope 1), operational control: 51 million tonnes CO2e (2022, restated in the 2023 report).","Shell Sustainability Report 2023, p.79, GHG data table (GRI 305-1)",https://reports.shell.com/sustainability-report/2023/,self_reported,
shell,emissions.scope1.co2e,2021,60000000,tCO2e,"Direct GHG emissions (Scope 1), operational control: 60 million tonnes CO2e (2021).","Shell Sustainability Report 2023, p.79, GHG data table (GRI 305-1)",https://reports.shell.com/sustainability-report/2023/,self_reported,
shell,emissions.scope2.co2e,2023,7000000,tCO2e,"Energy indirect GHG emissions (Scope 2), market-based, operational control: 7 million tonnes CO2e (2023).","Shell Sustainability Report 2023, p.81, GHG data table (GRI 305-2)",https://reports.shell.com/sustainability-report/2023/,self_reported,
shell,emissions.scope2.co2e,2022,7000000,tCO2e,"Energy indirect GHG emissions (Scope 2), market-based, operational control: 7 million tonnes CO2e (2022).","Shell Sustainability Report 2023, p.81, GHG data table (GRI 305-2)",https://reports.shell.com/sustainability-report/2023/,self_reported,
tata_power,emissions.scope1.co2e,2024,38671851,tCO2e,"Total Scope 1 emissions: 3,86,71,851 metric tonnes CO2e (FY24).","Tata Power BRSR 2023-24 report, p.30, GHG emissions table (Principle 6 Q7)",,self_reported,
tata_power,emissions.scope1.co2e,2023,28312137,tCO2e,"Total Scope 1 emissions: 2,83,12,137 metric tonnes CO2e (FY23).","Tata Power BRSR 2023-24 report, p.30, GHG emissions table (Principle 6 Q7)",,self_reported,
tata_power,emissions.scope2.co2e,2024,2886646,tCO2e,"Total Scope 2 emissions: 28,86,646 metric tonnes CO2e (FY24).","Tata Power BRSR 2023-24 report, p.30, GHG emissions table (Principle 6 Q7)",,self_reported,
tata_power,emissions.scope2.co2e,2023,2362899,tCO2e,"Total Scope 2 emissions: 23,62,899 metric tonnes CO2e (FY23).","Tata Power BRSR 2023-24 report, p.30, GHG emissions table (Principle 6 Q7)",,self_reported,
tata_power,waste.total.tonnes,2024,6733693,tonnes,"Total waste generated (A+B+C+D+E+F+G+H): 67,33,693 metric tonnes (FY24).","Tata Power BRSR 2023-24 report, p.30, waste table (Principle 6 Q9)",,self_reported,
tata_power,waste.total.tonnes,2023,5963730,tonnes,"Total waste generated: 59,63,730 metric tonnes (FY23).","Tata Power BRSR 2023-24 report, p.30, waste table (Principle 6 Q9)",,self_reported,
